community,% in Poverty,% in Extreme Poverty,Child Poverty Rate,% Female,% Male,% Asian,% Black,% Hispanic,% White,% Aged 0-4,% Aged 5-17,% Aged 18-24,% Aged 25-64,% Aged 65+,Total Pop.,Change in Pop. (2018 to 2019),Overall Unemp.,Unemp. 16-19 yr. olds,Unemp. 20-24 yr. olds,% no HS Diploma,% HS or GED,Some College,% Associates Deg.,% Bachelors Deg.,Forclosure,Homeownership Rate,Rent Burden,SNAP Enrollment Rate,% Cash Assist.,Uninsured Rate,Avg. Med. Household Income (2020 Dollars)
LOOP,9.4,7.0,4.4,49.7,50.3,21.4,7.0,9.4,58.9,2.7,2.6,16.5,67.5,10.6,40355.6,0.0,5.7,36.5,6.7,3.9,3.3,7.1,3.1,82.6,24.0,35.2,36.7,1.9,1.1,3.4,123833.3
LOWER WEST SIDE,14.0,6.1,-1.8,49.4,50.6,4.8,3.1,67.9,22.3,4.7,13.7,10.0,61.3,10.3,32589.1,0.0,6.5,8.8,15.9,23.3,18.9,14.7,4.4,38.7,12.0,31.4,37.5,14.1,2.5,14.1,57160.2
MCKINLEY PARK,13.0,3.9,0.5,50.1,49.9,29.9,1.2,52.8,15.4,5.3,14.6,10.3,58.3,11.5,15253.5,0.0,6.1,3.1,9.0,23.2,29.8,15.7,5.8,25.5,4.0,65.6,51.7,16.0,2.0,13.4,57043.3
MONTCLARE,11.7,4.7,0.8,53.4,46.6,2.5,3.1,55.6,36.2,6.9,16.0,8.9,51.6,16.6,14382.0,0.0,4.1,33.4,8.0,21.0,32.3,23.2,7.2,16.3,7.0,60.3,63.9,15.2,4.2,11.3,66361.8
MORGAN PARK,11.6,6.9,-2.3,54.1,45.9,0.4,60.4,5.0,30.9,5.5,16.8,7.2,52.4,18.1,21131.7,0.0,10.7,51.5,30.0,6.4,22.6,25.2,7.0,38.8,35.0,70.1,53.6,13.2,1.8,7.6,67781.7
MOUNT GREENWOOD,4.6,3.4,-1.8,52.0,48.0,1.6,3.2,10.5,81.1,7.2,17.5,9.2,52.5,13.6,18840.0,0.0,4.4,26.5,7.9,4.7,22.0,25.6,7.6,40.1,13.0,82.7,24.5,2.4,0.7,3.2,79915.6
NEAR NORTH SIDE,9.7,5.3,1.2,51.7,48.3,14.3,7.0,6.1,69.2,3.2,3.8,9.1,68.4,15.4,94416.0,0.0,2.5,12.0,3.9,1.9,5.0,7.5,2.5,83.2,41.0,40.9,37.0,4.0,0.9,2.6,118192.9
NEAR SOUTH SIDE,7.6,2.4,6.1,55.7,44.3,19.1,22.5,4.2,51.4,4.1,6.7,2.1,75.9,11.2,26243.0,0.1,0.7,0.0,0.0,4.8,5.1,9.6,3.0,77.5,15.0,56.8,29.5,11.0,1.5,3.3,82560.5
NEAR WEST SIDE,19.4,12.8,-0.7,51.2,48.8,18.5,24.2,10.1,43.5,6.0,8.4,15.3,62.7,7.6,62716.2,0.0,6.2,23.6,11.9,6.2,9.9,10.8,3.7,69.5,19.0,36.5,41.5,11.3,2.2,4.7,76671.2
NEW CITY,29.1,13.4,-1.6,48.8,51.2,1.9,23.1,61.8,12.4,7.2,20.7,10.0,49.9,12.3,38870.5,0.0,16.8,40.9,23.5,30.6,39.1,15.6,5.4,9.3,28.0,34.0,55.3,32.4,5.9,21.0,38587.1
