community,"% in poverty, 2020","% in extreme poverty, 2020","% Female, 2020","% Male, 2020","% Asian, 2020","% Black, 2020","% Latino, 2020","% White, 2020","% of 18 to 24 years old, 2020","% of 25 to 64 years old, 2020","% of 65 years old or more, 2020","Total population, 2020",Overall unemployment rate,Youth unemployment rate for 20-24 yr. olds,% with no high school diploma,% with high school diploma/GED,% with Bachelor's degree and higher,Uninsured rate,Average of median household income in 2020 dollars
SOUTH LAWNDALE,24.0,10.6,42.4,57.6,0.4,12.8,80.9,5.5,12.9,53.0,10.6,70184.7,8.8,13.7,41.0,32.5,10.8,24.0,42946.0
SOUTH SHORE,29.9,14.9,55.5,44.5,0.2,93.0,2.6,2.9,7.6,55.2,14.7,50468.1,15.7,26.1,9.9,25.1,24.3,8.7,39855.6
UPTOWN,20.9,9.2,49.5,50.5,10.4,18.1,15.0,53.2,8.6,66.9,11.6,59453.0,3.3,3.0,9.8,12.5,57.7,10.4,67152.1
WASHINGTON HEIGHTS,20.0,9.8,56.3,43.7,0.2,95.4,1.5,1.7,9.3,50.6,19.2,26855.3,14.2,38.9,11.4,25.3,26.2,9.0,63022.1
WASHINGTON PARK,42.2,19.5,55.5,44.5,0.0,91.7,2.2,1.8,9.1,51.5,9.6,10427.0,17.9,31.3,16.5,32.1,19.4,10.7,32084.3
WEST ELSDON,11.5,3.4,50.5,49.5,2.8,0.7,81.7,14.7,10.4,49.6,12.5,18337.8,9.7,14.3,26.0,35.3,15.5,10.7,51279.8
WEST ENGLEWOOD,30.9,12.8,54.8,45.2,0.1,86.1,10.5,1.5,8.9,48.1,19.7,26334.7,24.4,39.0,19.7,42.2,10.7,11.4,29139.1
WEST GARFIELD PARK,37.0,19.7,49.2,50.8,0.0,92.4,3.5,2.8,10.2,51.4,12.3,16490.3,24.1,48.6,25.3,35.2,7.0,11.6,27427.7
WEST LAWN,17.4,5.4,48.0,52.0,0.2,2.5,85.1,11.9,9.8,49.2,10.5,31974.9,10.3,19.0,28.2,37.8,12.7,10.8,53104.9
WEST PULLMAN,22.4,10.6,55.4,44.6,0.0,90.1,6.9,0.9,12.1,48.7,15.6,26143.7,20.7,37.0,14.1,30.0,17.0,11.3,44556.8
WEST RIDGE,17.0,6.8,50.4,49.6,21.0,11.6,19.7,42.1,7.4,53.2,12.8,78794.3,6.3,12.0,17.4,19.5,41.7,15.5,62005.4
WEST TOWN,8.8,4.8,49.4,50.6,5.4,6.2,20.9,63.2,6.6,74.3,6.3,84541.5,3.4,5.4,5.6,9.3,71.9,5.2,106807.4
WOODLAWN,30.7,15.3,55.8,44.2,3.3,82.6,3.0,7.9,13.5,52.7,12.2,24692.4,16.1,20.3,12.6,23.0,29.6,9.1,36889.6
